Text,Latitude,Longitude
@FOX26Houston Not stopping the ppl tho @ the border that’s bringing the guns n,29.522325,-95.823268
@FOX26Houston Not stopping the ppl tho @ the border that’s bringing the guns n,29.522325,-95.823268
"Y'all really can't fight, I see why our generation picking up guns https://t.co/gAxncMMvEw",35.7158045,-78.818343
"Y'all really can't fight, I see why our generation picking up guns https://t.co/gAxncMMvEw",35.7158045,-78.818343
And yes. I have my gun. Today is a prime get robbed day.,29.522325,-95.823268
@moderate_mad @redsteeze Those guns weren’t accidentally left there. The military don’t leave their weapons behind unless they are ordered to. Now who do you think gave that order?,30.144425,-88.473228
"@Talon269 @OccupyDemocrats How about if you murder someone with a gun you get the death penalty in 3 weeks or less. If you kill someone with a knife do you get to sue the store it came from, how about a car, do you sue the dealership. Some people are actually this stupid to say this!",30.146096,-91.655009
"@Talon269 @OccupyDemocrats How about if you murder someone with a gun you get the death penalty in 3 weeks or less. If you kill someone with a knife do you get to sue the store it came from, how about a car, do you sue the dealership. Some people are actually this stupid to say this!",30.146096,-91.655009
@ABC So secret service don’t need a gun that shoots more than 2 times 🤔🤔🤔 I guess US law biding tax paying citizens don’t need a gun we need dirt to throw in a guy with a gun that carrying 50 shots 🤔 lydm,29.522325,-95.823268
@ABC So secret service don’t need a gun that shoots more than 2 times 🤔🤔🤔 I guess US law biding tax paying citizens don’t need a gun we need dirt to throw in a guy with a gun that carrying 50 shots 🤔 lydm,29.522325,-95.823268
@ABC He just doesn’t know a criminal mind only knows the crooks that plays by the book you don’t have to purchase a gun with a background on the streets the right $ with get you the right tool for whatever you need todo @NRA,29.522325,-95.823268
@ABC He just doesn’t know a criminal mind only knows the crooks that plays by the book you don’t have to purchase a gun with a background on the streets the right $ with get you the right tool for whatever you need todo @NRA,29.522325,-95.823268
"@OrganizerMemes I justify it by reminding myself that we deserve better than safe. Too many marginalized people are starving, or living on the street because of safe. Abortions rights were stripped and gun control has eroded under safe.",30.355644,-85.605166
"@Talon269 @OccupyDemocrats The same sentiment should apply to parents where lack of  supervision, training and compliance with written gun safety laws trigger less severe ,""tough love laws,""  in ALL cases involving MASS MURDERS (ie, five or more shooting victims). Parents should teach more responsibility!",33.6475029,-84.576827
"@Gabby_Hoffman @MrsNewt This knows that 98 % all guns are semi Automatic!!
You make anything into law call it assault weapon could be a hammer screwdriver anything you used to kill somebody with being called an assault weapon!",24.396308,-87.634643
"If anything we all need to be able to carry semiautomatic guns all the time. If I can be somewhere and ANYBODY can come in shooting it's too late.

https://t.co/ltT6p99Cbn",33.6475029,-84.576827
#ChristoFascist hate is responsible for the #Walmart and #ClubQ gun massacres 🤬,26.080935,-80.20811
#ChristoFascist hate is responsible for the #Walmart and #ClubQ gun massacres 🤬,26.080935,-80.20811
@_Peace_Love_US It was murder and a crime the tragedy is not enacting gun control,24.396308,-87.634643
@lindyli Same situation with the three Virginia football players. It was reported they bullied the shooter. That story has been dropped because the death by a gun allows them to focus on gun violence.,33.945051,-81.198937
There is nothing more dangerous to innocent children than a leftist with a gun…or at Planned Parenthood.,35.9945681,-87.022482
There is nothing more dangerous to innocent children than a leftist with a gun…or at Planned Parenthood.,35.9945681,-87.022482
@TheFungi669 We have a gun and mental health problem we need gun control and make heath care including mental be taken care of by the government like Sweden and the billionaires will be taxed big time for it and other things,24.396308,-87.634643
@MarindaVannoy1 You'll have to let the criminals know! law abiding citizens don't go around shooting people got to have some common sense when talking about gun control,35.751433,-86.505805
@MarindaVannoy1 You'll have to let the criminals know! law abiding citizens don't go around shooting people got to have some common sense when talking about gun control,35.751433,-86.505805
"He should've been jailed for terroristic threats, placed on no fly list and have gun rights revoked. If not, we ain't see the last of this incel. 🤦🏿‍♂️ https://t.co/9PPQ3jyC0L",33.6475029,-84.576827
"He should've been jailed for terroristic threats, placed on no fly list and have gun rights revoked. If not, we ain't see the last of this incel. 🤦🏿‍♂️ https://t.co/9PPQ3jyC0L",33.6475029,-84.576827
@Lowcountry1Girl Yes! We played cowboys and Indians with our cap guns. And we weren’t called racists for doing so.,35.533842,-88.927948
